id,tweet,label
2.64E+17,"Man, bye. I gotta work all day and drive to Houston tomorrow.",0
2.64E+17,@thaalitaa410 won't get emojis till tomorrow beeeotch! when is your grandma going back to brazil? i wanna see your fam before they leave!,0
2.59E+17,"Love-cheat' Daniel Radcliffe splits with girlfriend Rosie Coker: London, Oct 19: Daniel Radcliffe has split wit... http://t.co/ZVlsK2HQ",-1
2.63E+17,"@solz_b He's a true Niners fan, he brought it up in a interview during his 2nd season. :D",1
2.63E+17,"Patriots Extend Lead, Cruise into 4th with 38-7 Lead - Pats Pulpit: The Patriots extended their lead in the 3rd ... http://t.co/knFUZ5ak",1
2.64E+17,@KevOrf_5 Yeah I think so. We saw Suarez score up near us and we played pretty well 2nd half so it wasn't so bad. Probably should've had ET,1
2.64E+17,I may exit off twitter and fb  and thug with instagram btw its blonde_lifestyle:insta,0
2.64E+17,"Indiana 1, Northwestern 0, end first half, men's soccer. Eriq Zavaleta's 16th goal the difference. IU dominating play. #iusocc",0
2.63E+17,Pretty Little Liars was the shit ! I can't wait til tomorrow ! I wanna see who all innocent & who got something to do with Allison dying !,1
2.64E+17,@MonicaGonzo Texas and Baylor both looked awesome last night. We are heading to the games tomorrow night.I say final is Texas/Baylor,1
2.64E+17,"If you are in Vancouver this weekend, check out @staticstars on Sat. at 20:00 @ The Commo in Vancouver, BC http://t.co/szy2d90C #concert",0
2.59E+17,"Jesiah of course can't fall asleep. So since he's off school tomorrow, he's cuddled up with mama watching Wizards of Waverly Place<3",0
2.64E+17,"@gleekyspnluver @flippinstarkids It says on Wiki that the ep will now air on the 13th, no links at the moment for it.",0
2.51E+17,Who's going to Concords football game this Saturday?,0
2.64E+17,"#7FactsAboutMyBestFriend 17, plays softball, loves the Lakers, she's a LA girl, Junior, Birthday September, 15th & she loves her black boys!",1
2.60E+17,"So Friday at Onyx there was a bachelor party & the best man tells the bachelor, ""You getting married tomorrow!"" The bachelor says...",0
2.63E+17,"waking up to a Niners win, makes Tuesday get off to a great start! 21-3 over the cards and 2 games clear in the NFC West.",1
2.64E+17,Contest Tomorrow! I will post a local Tucson property that is currently Active in the Tucson MLS. The first person... http://t.co/V55HsKTI,1
2.52E+17,"@justinbieber im so excited even though i wont see you til novemeber 5th. oiershdjkfwle GOOD LUCK TONIGHT, KIDRAUHL!",1
2.64E+17,If you didnt see it already heres my Halloween effort from Saturday - David Bowie frm the Labyrinth as a vamp! http://t.co/GMzfdHnR,0
2.64E+17,Well if no ones going to school tomorrow then I guess I won't go :p,-1
2.52E+17,Watching Contraband on the PVR & it's too frigging predictable to continue watching. Gonna go wash my hair. #friday,-1
2.64E+17,"@JoshNorris @Rotoworld_Draft I'd be pretty mad if the Packers took Bernard in the 1st just bc, Cooper/Eifert would be better IMO.",-1
2.49E+17,Herald Sun: AFL stars make their UFC 152 picks: DANE Swan and Gary Ablett give us their pick... http://t.co/ptKILitj #sidebyside #gopies,0
2.63E+17,"Steal by Chalmers, on the break away and is fouled by Garnett. That is his 3rd foul of this game. #Celtics #299COMM",-1
2.63E+17,@Holly_Gilchrist you out again on Thursday for #aNightmareOnGeorgeStreet at Chalmers?? #round2,0
2.64E+17,"Free to Watch!!! Justified: ""Justified"" follows Marshal Raylan Givens, a modern day 19th century-style lawman, w... http://t.co/Lep5fnF1",1
2.56E+17,"@_BigDaddyDouley Come SUPPORT the SHOW/MOVEMENT at Park dale High School on Oct 26th from 8-11 w/ AJA, DREAMTEAM, HQB, DSB & HIB",0
2.64E+17,@drewbrees I admire the relationship U have with your family. Lol iron man's a pretty suitable costume. Good Luck Monday Go Saints!,1
2.64E+17,"@shuayb_ well i went maths on mon, tues + wed but cba now youu? &nopee just town today and thats itt x_x",0
2.64E+17,"Come see the David Bowie tribute show I'm in @ King King, H'wood, Nov 4 & 5 (my b'day). 6 singers/dancers, 6 pc band - killin!",1
2.64E+17,Your like Jordan's on a Saturday I got to have you and I cannot wait. .,1
2.64E+17,Gonna watch Grey's Anatomy all day today and tomorrow(:,0
2.63E+17,@CoachVac heey do you know anything about UVA's fallll fest loll they invited me so im going this sat but i really dont know what it is loll,0
2.64E+17,"@DustyEf when that sun is high in that Texas sky, I'll be buckin it to county fair. Amarillo by morning. Amarillo ill be there...",0
2.63E+17,Up 20 points in my money league with Vernon Davis and L. Fitz still to go tomorrow. Thats what I like to see,1
2.64E+17,DEEJAYING this FRIDAY in THE FIRST CHOP it's CHRIS actual SMITH with a smashing mish mashing of TUNES from Stoke... http://t.co/N3W1Dkrv,1
2.63E+17,"The Rick Santorum signing that was scheduled for tomorrow at the Books A Million in Exton, PA has been CANCELLED due to the weather.",-1
2.56E+17,@dreami9 lol yep looks like it! Was after El Clasico on Sunday. I didn't like her lol and this doesn't look serious so I'm cool lol,0
2.64E+17,Back in Stoke on Trent for the 2nd time today!,0
2.64E+17,First Girls Varsity Basketball Game tomorrow at 6:00 pm Then Football Senior night at 7:15 pm  See you there! Go Saints!,0
2.64E+17,"#UFC lightweights @Young__Assassin VS @jamievarner set for TUF 16 Finale on the FX December 15 card, prelims on FUEL TV and Facebook. #MMA",0
2.64E+17,@OOOOO_WEEEE slide thru sometime this weekend ill have somethin yu can sip on lol gotta make a ABC run tomorrow anyway,0
2.54E+17,"@DannyB618 Sure absolutely-- I meant out of the Bachmann, Perry, Santorum, Herman Cain bunch this election. And Romney was not my 1st choice",-1
2.64E+17,"@RichardGordon48 re Levein discussion on Wed. Can't keep changing boss, but he is far too negative. Brazil gone, new boss cud experiment.",-1
2.64E+17,"Today In History November 02, 1958 Elvis gave a party at his hotel before going out on maneuvers. He sang and... http://t.co/Za9bLTcE",0
2.64E+17,Hustle cause you got to then kick back n party everyday like its Fri,1
2.64E+17,I can't sleep. Way too exited about Vancouver tomorrow! I'm like a kid at Christmas.,1
2.58E+17,"Entertainment: Tina Fey and Amy Poehler are hosting the Golden Globes, airing Jan 13. Get ready for a night full of laughs!! -Ashley&Alyssa",1
2.64E+17,Who's going to Plymouth town tomorrow?,0
2.64E+17,#pause I bet the clippers are gonna get in the Lakers ass Friday (today),-1
2.64E+17,If you do another season of Big Brother please please please bring Friday night live back!! Everyone wants it back on! @BBAU9 #BBAU,0
2.64E+17,"@h0tlikepayne: It's #confirmed that you can listen to the deluxe version of TMH on ITunes 9pm GMT on Nov 5th, Monday.",1
2.64E+17,"i said it b4 dat gucci been promoting his mixtape 2 drop on 10/17 since august, Gotti just up & tried 2 come out on da same date",0
2.64E+17,"Busy day tomorrow, staging at bliss instead of sustenio!! Both very cool places. And my last night in Texas. Its gonna be great! :)",1
2.38E+17,My Pain may be the reason for somebody's laugh. But my laugh must never be the reason for somebody's pain - Charlie Ch http://t.co/iw1fy2wo,0
2.59E+17,Might do my sport work on the train tomorrow CBB right now,0
2.58E+17,"Just watched most of movie,missed the 1st 20 min.s,but...I thought Y2J was in it!Looked like him,said Chris Jericho in credits,but...nah! (;",0
2.64E+17,"Thursday night is reserved for comedys on NBC, FX and tonight, NFL Network.",1
2.63E+17,At the Monday night football game Cardinals vs Niners with Steve Edlefsen and Matthew Kroon. http://t.co/oWdlksm3,0
2.61E+17,Mitt Romney falsely claimed he saw his father march with Martin Luther King Jr.  http://t.co/QcSDqEyB Mitt Romney what won't you lie about?,-1
2.64E+17,Get to see my big sis sunday and watch the Packers game! #missher @Laurrr_Miller,1
2.64E+17,"Not only is @MzMandyTugz home from China, she's in LA...I called her and screamed Mandyyyyyyyyyyyyy...I'm gonna hug her for 2 hrs tomorrow!",1
2.64E+17,@marinabaysands May I know if there is still a chance to meet Tiger Woods before he leaves Singapore?,0
2.64E+17,Going to Singapore tonight :) Excited for Skyfall + penny boarding tomorrow!,1
2.64E+17,@TatiCuteAss you ain't gone do shit tomorrow we gone see chicken shit,-1
2.56E+17,"Remember this? Santorum: Romney, Obama healthcare mandates one and the same http://t.co/sIoG48TO #TheRealRomney @Lis_Smith @truthteam2012",0
2.61E+17,@REALBROTHER0003 did Romney's dad march with Dr.King yes or no ?,0
2.64E+17,Last Man Standing Season 2 Premieres November 2nd on ABC with an Election Theme http://t.co/k1SASkif via @themomjen,0
2.62E+17,Bama maintains the longest active unbeaten streak as they march (again) to the national title. ROLL TIDE!,1
2.64E+17,Uploading my iPod for tht drive back to the O tomorrow,0
2.61E+17,@robdelaney I'll donate $5 to the homeless guy on 3rd St. if u can talk @realDonaldTrump into letting us judge the next Miss America,0
2.64E+17,"So Clattenburg's alleged racism may mean end of his career; Terry, Suarez, Rio use it and can't play for a couple of weeks? #consistency",-1
2.56E+17,@ZulaGp @misstoyaj Watching this great interview with Ava Duvernay-new film coming out Fri. with the beautiful Nigerian actor from Red Tails,1
2.64E+17,Pretty Little Liars is not back until the 8th of January!!! I'm devastated,-1
2.64E+17,i like how each Friday the announcers hype how Alabama can be beat and each Monday state how Alabama is still number one...,1
2.27E+17,@hollyhippo I'm going to blockbuster tomorrow to get Devil Inside if that's okay??;),0
2.64E+17,[ESPN] SEC lunch links: Some linkage for you on a Thursday: Alabama will throw some different thing... http://t.co/qr74InOB #RazorBacks,0
2.64E+17,@ESPNStatsInfo: Better QB: Ben Roethlisberger or Eli Manning? You make the call - and watch them face off this Sunday. Tony Romo.,0
2.64E+17,Damn only the 2nd day in the NBA season and Tony Parker already hitting game winners #clutch,0
2.64E+17,Thanking all my lucky stars. (no Madonna) "With the sun in the mornin' & the moon in the evenin' I'm alright.",1
2.53E+17,"The Philippines just passed a law worse than SOPA, which actually criminalizes criticizing someone online. http://t.co/wUMX95vR",-1
2.62E+17,Emile Heskey has sure started his A-League career well. 4 goals in 3 games! May it continue. "Match Stats http://t.co/SUCqdSM3,1
2.64E+17,"When I was little my brother Liam asked me ""is it tomorrow yet?"" And I replied ""no, it's always today."" #5yearsold #bookofquotes #smartbaby",0
2.63E+17,"@WilliamShatner You are top billing to Shakespeare in Google but 2nd in Wiki. One, a master of English; the other, from Stratford.#Shatoetry",0
2.37E+17,"@emmasq Gary Ablett has to be a #Monty surely. A lot of losses, but clearly best and most influential player in the #AFL #Jobe & Thommo 2nd",1
2.63E+17,"@edcfc73 cheers 4 the ticket ed 4 wednesday ,Steve looks a bit like Ricky gervais #ugly fucker",-1
2.64E+17,"@Real_Liam_Payne i'll be in london, within zayn's birthday the 12th of january meet you there hahaaha DREAMS AND IMAGINATION OF MINE ..",1
2.64E+17,@cocosworld @numolai nor'easter superstorm with snow and low temps according to fox http://t.co/ilhYhhwB  it may change paths by then,0
2.64E+17,But honestly I think Miami may be the Alabama of the NBA.,0
2.64E+17,@TyMo214 Well said on HMW. Can you now address why Texans fans file out of the stadium midway through the 4th qtr of every game?,0
2.64E+17,@BooGotti_So1OO Girl Exactly But I'm Mad Because They Pushed Gotti Date Back! But Fuck All That NOVEMBER 23 RVA!  Shawty how you acting??,-1
2.64E+17,"On the Jersey shore, emotion outweighs cost of rebuilding: BAY HEAD, N.J./BOSTON (Reuters) - The people of the Jersey Shore may feel ...",0
2.64E+17,@CurtTheArcher1 The may have the best defense..but they still lost to the Packers,-1
2.64E+17,Sad scenes about Underoath splitting. Off to Newcastle tomorrow for the weekend. Try catch the #arsenal game too. @jamiedurent if yr about,-1
2.59E+17,Anybody at the Trib: where is Ike Taylor's Friday column? Sucks I can't find it. First one I've actually looked forward to reading.,-1
2.63E+17,Get pumped for the new season of Justified!! #january,1
2.63E+17,Sunderland have some shit fans! They all were going home with 10 mins of the game left. Demba Ba still 2nd top scorer #lalas #smb,-1
2.64E+17,#7ThingsAboutMyBestFriend 1.She is in love with Zayn Malik and Beau Brooks 2.Ive known her since 5th grade(; 3.She is so tiny!,1
2.64E+17,I hope anderson starts tomorrow's game he did very against chelsea,1
2.64E+17,@ZackRyder Look forward to seeing you in Newcastle tomorrow night! I'll be front row wearing a Broski t-shirt! #WWWYKI,1
2.54E+17,@tessgrosvenor27 the Fiesta Bowl. And I was surprised to see they were ranked 6th in the polls. Cuse don't get alot of love in football land,-1
2.64E+17,"@DJiAM_ it'll prolly sound like the 1st Pluto which was ................... ok, I wonder if he gone have Kanye on it",0
2.64E+17,I'm going to the Texans game Sunday!,0
2.63E+17,New series of Greys Anatomy starts on 07 November - one good thing about winter is the return of the best US shows! #nightsinfrontofthetelly,1
2.64E+17,"Suarez is 1 YC away from a domestic suspension. If he picks up a YC this Sunday vs Newcastle, then he will miss the clash at SB next w/end.",0
2.64E+17,Two-thirds of the NCAA football season are completed. The race for the BCS title game is heading to a huge controversy. http://t.co/KStEPiWn,-1
2.64E+17,"#Hawks fam, twitpic your Halloween costume to win a pair of tickets to see the Hawks defeat the Rockets this Friday @ATolliver44",1
2.62E+17,Sitting at home on a Saturday night doing absolutely nothing... Guess I'll just watch Greys Anatomy all night. #lonerproblems #greysanatomy,-1
2.64E+17,"Cardinals try to pick up the pieces against Packers: Embarrassed on Monday night, the Arizona Cardinals are left... http://t.co/ruHfUKuf",-1
2.64E+17,@JulesHolman Dear one was driving from Newcastle. Sunday? So glad @NorelleFeeehan liked it - it was great to meet you Norelle!,1
2.64E+17,"@Nessaa456 the 6th chapter talks about malcolm x and I think martin luther king,.he kinda contrasts them",0
2.64E+17,"@1DticketsUSA online it said One Direction tix for Paris April 29th 2013 go on sale at 10am, what site can you buy tickets!",0
2.64E+17,@jadinexo U going to chalmers tomorrow?,0
2.64E+17,Off to Anfield on Sunday for LFC vs Newcastle with @willslater99 #excited,1
2.64E+17,@premierleague Mr Howard Webb did a fantastic comback in Chelsea match 05 February 2012 - with the help of two magic penalties of course...,1
2.64E+17,"On the Jersey shore, emotion outweighs cost of rebuilding: BAY HEAD, N.J./BOSTON, Nov 2 (Reuters) - The people of... http://t.co/eaPAgwx2",0
2.63E+17,Check out Sir Terry Leahy article in Saturday's Telegraph Weekend section re why he invested in GCSE Maths resource http://t.co/E9gLzAMC.,0
2.52E+17,@KERfortheWIN Plagiarism. Sopa's gonna get you on october 3.,-1
2.64E+17,Vegas Beat: Ellen reveals that Madonna helped her come out of the closet: Tuesday's episode of Ellen featured th... http://t.co/PwhBvNK1,1
2.64E+17,Can't wait to go to the WVU vs. TCU game on Saturday,1
2.64E+17,Very much looking forward to Saturday. Afternoon tea and Firework display at the Celtic Manor.,1
2.64E+17,@ThomasCritchley hahaaa. well if u wanna take me to brazil i ain't gonn say no. How about viva brazil tho next Friday night? Bit cheaper XxX,0
2.64E+17,"16:46 Steven Pourier, Jr. (OLC) MADE the 1 shot Free Throw. DaSU leads 8 - 6 in the 1st Half. #NAIAMBB",0
2.63E+17,Trent Richardson has the Browns out to a 7-0 lead over the Chargers on Sunday.  http://t.co/Kfva5FQh,0
2.63E+17,"Gerrard: ""Every single time they got the ball to their keeper it came in long"". Sunday's long ball stats - Tim Howard (15), Brad Jones (20).",0
2.64E+17,Muhammad Ali came into my work tonight to eat...I think that being in the presence of a legend made this Tuesday pretty legit.,1
2.64E+17,I didn't want New York to miss my Madonna show. Get ready for Monday! It's gonna be on WNBC! There is a God<333333 Thanks Ellen :'3,1
2.63E+17,@AllyTuckerKSR @rbramblet Maybe KSRc needs a wrasslin' recap then. @kysportsradio once mentioned we may have things about The Bachelor,0
2.62E+17,Life just isn't the same when there is no Pretty Little Liars on Tuesday nights.,-1
2.64E+17,(Times Pic) LSU Coach Les Miles said BCS title game has no bearing on Saturday's matchup with Alabama http://t.co/e7qDoIyC #LSU,0
2.64E+17,@rwh4vt: We look like UVA. There I said it. So sad but so very true.. November 24th is going to be a circus,-1
2.64E+17,Class early in the mornjng =\ it's bedtime! But do get to see my Sam tomorrow :),0
2.63E+17,"@RayWJ: Despite what you may have heard, I actually do give a shit."" --Honey Badger, in an interview with Piers Morgan""  @dogorman10",-1
2.64E+17,I get to see Ces tomorrow!!!!! Best news since the hurricane. He better not forget his flashlight!,1
2.57E+17,#njed please join @Sirotiak02 and myself  this Tuesday @ 8:30 PM as we discuss HIB. Special guest moderator @WMS_Counselor glad to have you.,1
2.64E+17,Remember the midterm elections? Remember the Wisconsin recall? Just wait for next tuesday.,0
2.64E+17,"it's either UA or AU for grad school. As much as I love Alabama, I'm thinking Auburn may be the better choice for me.",1
2.64E+17,Watched a Pride and Prejudice play and then the season finale of the 2nd season of Downton Abbey. Tonight is so British.,1
2.50E+17,i hate how MLK Jr got caught apewalkin at the Selma March (reason why white people call us monkeys),-1
2.62E+17,Napoleon Dynamite may be the most awkward person ever,-1
2.62E+17,I'm not sure how Teddy Bridgewater playing in the Orange Bowl will go over in Miami. We may find out.,0
2.64E+17,"@bursonperson - Spotted: I just saw Elvis, I'm beginning to like the temporary 7th floor office. ;) @AOlavarria",1
2.64E+17,got to rockdale today and going back to houston tomorrow THANK GOD!,1
2.54E+17,@MMFlint you got a sweet shout out at a Jon huntsman jr speech in St. Louis Monday night. Well done!,1
2.64E+17,"China to open cultural centre in Nepal: Kathmandu, Nov 2 (IANS) China is going to open a cultural cen... http://t.co/tYn4QOmg @yahoonews",0
2.64E+17,Pacers fans are going to have fun on Saturday...,1
2.64E+17,YouTube improves upload process with optional notifications and new tags editor: Google on Thursday announced th... http://t.co/BtCcHo7A,0
2.64E+17,Ay up @keithmaxmoz You still want me to get you a pair of tickets for the Sunderland match on 2nd Jan (7.45pm ko)?,0
2.64E+17,Congratulations on scoring your first goal for Swansea yesterday. May I say that you look exactly like Jonas Gutierrez ! @ChicoFlores12,1
2.34E+17,A lot of work goes into to showing a Movie Under the Stars! Come out tomorrow night at watch Joyful Noise on our... http://t.co/zldSzjI5,0
2.63E+17,"@BrodyLogan | That way, the Orange Bowl would always be a part of me. I think it was a wise choice. Shit, is it Thursday yet? Game time!",1
2.64E+17,"@JonathaMingo In other related news, you know there's no Parks tomorrow?",-1
2.64E+17,"Gold edges down ahead of US jobs data: SINGAPORE (Reuters) - Gold edged lower on Friday, with investors waiting ... http://t.co/hbL19o43",-1
2.64E+17,Guarantee if I go to maths tomorrow ill spend the whole time talking,0
2.57E+17,I will watch Coach Stews Fiesta Bowl speech before the game tomorrow. Just seems right for some reason. I know he is smiling at this team.,1
2.64E+17,@Lydia_Style @candyjacobs ahhh girls if I was not going to Dubai on Wed I would take u ladies !! Hope u can come visit me in land of sand x,0
2.64E+17,@OnlyOne_Tikeya it's party on nov 11th at da CHALMERS community hall 10$ to get n,0
2.64E+17,HOLY SHIT. I just realized that I missed Pretty Little Liars on Tuesday. :/,-1
2.63E+17,@Lon_Genius my part to the al green joint will be done friday...I'll shoot you an email with the attachment,0
2.64E+17,You should come watch "The Devil Inside" in the movie room on the 1st floor @Miss_Lady94,0
2.64E+17,But tonight when I went to see Madonna at the Scottrade when I walked in I started crying because I thought about last Saturday.,-1
2.64E+17,Are the Canes the biggest losers in the Marlins Park deal? Losing the Orange Bowl = Not good for their program. Bad look at Sun Life.,-1
2.64E+17,SIKE/APRIL FOOLS/ NEVER say Never but this is the exception ****Turns on Pretty Little Liars,0
2.64E+17,"Watching CBC news in Vancouver, awaiting the WSOP Circuit event tomorrow. What's on the Canadian network? The US election - what else...? :)",0
2.64E+17,This guy is going in the mail tomorrow addressed to the Georgia Athletic Dept. http://t.co/tgMmQtiq,0
2.64E+17,...it's Jason and i 3rd year anniversary today & it's my baby makes 3 months today! im the happiest and luckiest lady on earth :),1
2.63E+17,@AubrieMcg  Rob mentioned it in his Sept 24th email to CES members.,0
2.64E+17,@VictoriaBiebs So we probably wont hang that long okay? I wanna see you before you leave China. :D Oh are you going tomorrow?,0
2.64E+17,Tim Tebow steps out with girlfriend Camilla Belle in Florida (sun-sentinel): Share With Friends:  |  | Top News ... http://t.co/M9Sap8E3,0
2.63E+17,"Wow, what a weekend: Flying Lotus, Zombie Apocalypse, writing, Patriots, Dog Beach...goodnight everyone. Monday morning, screw you.",1
2.59E+17,@pkerns603 one time i sat next to rick santorum and i swear i was polite the whole time,0
2.64E+17,[ESPN] SEC lunch links: Some linkage for you on a Thursday: Alabama will throw some different things ... http://t.co/N8HFRZtk #Bulldogs,0
2.64E+17,Tomorrow: LAX->Phoenix->Dallas->Houston. Long day of flying.,0
2.64E+17,"I just have to remember to go online tomorrow and watch Grey's Anatomy , Scandal , &' Vampire Diaries .",0
2.60E+17,We're going to be in the rose parade tomorrow with the other obedience club dogs! Lizzie will be wearing roses! :-),1
2.64E+17,@chriscolfer can you make an appearance at sbl in january i mean i know u live in california but i promise not to fall this time,0
2.64E+17,"Not 1st time we've had shocker at Anfield on Halloween.We can all see what needs to be done.Carry on Brendon, you've got my backing #lfc",0
2.64E+17,Kirk's Bike Shop: Support the businesses you love and Shop Small this November 24th. http://t.co/SFMNKNi6,0
2.64E+17,"Chris Bosh may not be easy on the eyes, but he has a freakin beautiful family!",1
2.64E+17,"BU grads are the 7th most employable in US after Harvard, Yale, Stanford, MIT, Columbia, and Princeton. #hopethisistrue http://t.co/yDcczEqP",1
2.48E+17,Thought For The Day!!! "My Pain may be the Reasons for Somebody's Laugh....but My Laugh must NEVER be the Reasons for Somebody's Pain!",0
2.64E+17,Also don't forget #YourHealthIsYour Wealth 11.14.12 that Wednesday before #TheAKAdemyAwards come do Zumba with your @SFA_AKAs,1
2.60E+17,Napoleon dynamite is on and im not going to school tomorrow. #fantastic,1
2.64E+17,"@JustinLueck I'll try to take some more pics tomorrow, I lost mi phone during the service and all I got right now is that pic I sent you",0
2.51E+17,An alarm on my phone still goes off every Thursday for a Jon Huntsman For President National Finance Team Call. Probably time to delete it.,-1
2.60E+17,@JahmeneDouglas please please would you consider singing etta James at my wedding in may? We chose the song coz of you <3,0
2.64E+17,Watching Eddie Izzard Circle. Sooooo funny but I think it's bed time. Will make Andy watch it with me tomorrow.,1
2.64E+17,Looking forward to a fun weekend in the mountains and enjoying the snow in California.  Have a great Friday. http://t.co/Itxs0ik1,1
2.58E+17,"The last thing Dr. King ever said to me before he went down to Memphis: 'Harry, we may be integrating into a burning house. ~H. Belafonte",0
2.61E+17,"People's Choice Awards site is sooooo slow, c'mon I want to vote",-1
2.64E+17,"This Friday we are mixing Tumblr with Twitter, ah well.",0
2.60E+17,@_Cottenballs_  well Geaux Tigers:) and yes it is and then three days after that is.....Nov 6 which means election day! #RomneyRyan!,0
2.64E+17,BREAKING NEWS...........Man utd have placed Howard Webb on the transfer list after new signing Mark Clattenberg makes dream debut on sunday.,0
2.64E+17,@MorbidWhore oh I'll be 19 in February. Where do you live? I live in Florida. :D,0
2.60E+17,"Ricky Gervais - all that money, all the freedom that money brings. Thought he'd spend Sunday Tweeting...",0
2.62E+17,Hope you're getting up to meet me at our Women's Health Symposium! 9-3 at the Kentucky Center for African-Am Heritage on 18th & Muhammad Ali,0
2.63E+17,Homework catch up day and then dinner with the "Big Brother" before the hurricane. I kinda need school not to happen on Monday,-1
2.62E+17,"Hey, all you #SupportLocalTalent folk, tomorrow is the deadline 11:59PM to vote for HMA People's Choice Awards http://t.co/zNvfWP1c #HamOnt",0
2.64E+17,"New header of Lana Del Rey *__* her face is getting blocked though, I may change it later..",-1
2.64E+17,"Hating Breitbart out tomorrow in Wisconsin - Oshkosh, Appleton, Ashwaubenon, and Brookfield. Check it out, guys! #conservative",-1
2.64E+17,London copper up for 3rd day and underpinned by China data - SteelGuru http://t.co/X3ph8f8B,0
2.64E+17,@D1_Prospect: Singing find your love by Drake like the kid in my 4th block class that swears he's good. Lmaoooo!!! Leave that boy ALONE!,1
2.63E+17,I bet you won't power clean Mettenbergers unconscious body after you sack him Saturday! Roll Tide @vsunseri3,-1
2.62E+17,Did he really just say " You think on 3rd & 23 they would play it safe and kick it". Im Roll Tide all day but that shit was harsh.,-1
2.64E+17,#LA The date is approaching fast Los Angeles!!  Be sure to catch the show in Malibu on November 16 th!! Tickets... http://t.co/olsNdSL9,0
2.63E+17,Friday night's concert with White Collar Side Show! http://t.co/UEulX3da,0
2.64E+17,Madonna is in concert tonight in St. Louis.  All the women are dressing like 80s whores.  Some of them may even go to the concert.,-1
2.43E+17,Excited for pre-Fashion Night Out drinks at Pipa tomorrow night with the HomePolish designers! First of many... http://t.co/exClqgSM,1
2.63E+17,"I googled ""coffee & its immediate response, mechanisms"" the first page that appeared ""September 11 attacks, Wiki"".. I dont see the link here",-1
2.47E+17,"As a liberal dude, I would have seriously considered voting for Jon Huntsman.  I may be wrong but he seems like a reasonable guy.",0
2.64E+17,Aquib Talib for a 4th round pick is larceny. Good move by the Patriots.,1
2.64E+17,Lakers gonna beat the Clippers tomorrow tho !,0
2.64E+17,"So heartbreaking that the @NHL is actually gonna cancel the Winter Classic tomorrow, must be brutal trying to divvy up $3.3 BILLION! FUCK!!",-1
2.62E+17,"@Warren_Kole@MichaelEaly Do u follow dj @THEJEDEYE1 ? U should, he's great, daily songs.Today was At Last,Etta James.12th time youtube.Wow!",1
2.63E+17,I want a Sunday kind of love - Etta James,0
2.64E+17,I gave $2200 to the Santorum campaign. Put me in debt. Romney gets my vote anyway  though. 3rd party people just don't get how bad BHO is.,-1
2.64E+17,"No school tomorrow = Tumblr the whole night, till i fall asleep p;",0
2.64E+17,@Its_Zac_Andrews The night Matt has a place in Ypsi and we are going to State Saturday,0
2.62E+17,"@Anfield_Talk been awhile,sat back taking stock,think we missing a ""fox in the box"" has anyone else clocked what Jordan Rhodes is doing? 1/2",0
2.57E+17,My best friend is trying out for the Rose Parade tomorrow. I wish you the best Shante<3 Good luck! @Forever_Shante,1
2.64E+17,A panoramic shot taken Saturday at the Devil's Den Yellow Rock bluff. Mike http://t.co/ya80gHKS,0
2.64E+17,The Bill Michaels Huddle is on the air now Call the show at 855-830-8648 to chime in about the Packers matchup against Arizona on Sunday.,0
2.64E+17,@C_Murder56 yeah she been there for like 3 years n she gettin stationed back in Georgia in June I think,0
